current_price,previous_price,investor,year_diff
1050000,261000,False,11.84394250513347
668000,331500,True,4.993839835728953
590000,283000,False,5.032169746748802
490000,675000,False,11.33744010951403
13500000,6100000,True,5.960301163586585
2446000,500000,False,1.6865160848733745
1425000,589000,False,0.057494866529774126
1050000,430000,False,6.209445585215605
610000,567000,False,5.722108145106092
1210000,1200000,True,0.8569472963723477
575000,675000,False,9.377138945927447
675000,367000,False,9.32785763175907
1100000,452000,True,10.72142368240931
2150000,1450000,True,2.628336755646817
312000,365000,True,1.3689253935660506
1800000,1140000,False,11.978097193702943
2675000,1900000,False,2.74880219028063
2600000,775000,False,17.99315537303217
400000,350000,False,0.8980150581793293
1235000,440000,False,7.8056125941136205
1375000,1005000,False,15.0362765229295
1122500,305000,False,20.306639288158795
322500,175000,False,20.56399726214921
